"visitnumber","visitid","visitstarttime","date","fullvisitorid","channelgrouping","socialengagementtype","pageviews","unit_price"
2,1494969773,1494969773,"2017-05-16",2.4904850930879575E+18,"Organic Search","Not Socially Engaged",1,0
1,1494949486,1494949486,"2017-05-16",1.975641000270692E+18,"Organic Search","Not Socially Engaged",1,0
2,1495042555,1495042555,"2017-05-17",8.298151520911642E+18,"Organic Search","Not Socially Engaged",1,0
1,1495024744,1495024744,"2017-05-17",6.215843004187903E+17,"Organic Search","Not Socially Engaged",1,0
1,1495018823,1495018823,"2017-05-17",9.360874899708418E+18,"Organic Search","Not Socially Engaged",1,0
7,1496909489,1496909489,"2017-06-08",6.713347121409669E+18,"Organic Search","Not Socially Engaged",1,0
1,1495223495,1495223495,"2017-05-19",9.92590706707865E+18,"Organic Search","Not Socially Engaged",1,0
1,1495738659,1495738659,"2017-05-25",8.518804599854511E+18,"Direct","Not Socially Engaged",1,0
1,1497962333,1497962333,"2017-06-20",6.90395390997697E+18,"Organic Search","Not Socially Engaged",1,0
1,1497669224,1497669224,"2017-06-16",5.085465221681046E+18,"Organic Search","Not Socially Engaged",1,0
1,1498053566,1498053566,"2017-06-21",4.213558948168161E+18,"Organic Search","Not Socially Engaged",1,0
5,1501649570,1501649570,"2017-08-01",1.1170280844323793E+18,"Display","Not Socially Engaged",1,0
1,1500028133,1500028133,"2017-07-14",2.930438297285587E+18,"Organic Search","Not Socially Engaged",2,0
1,1495043230,1495043230,"2017-05-17",1.962481567287526E+17,"Direct","Not Socially Engaged",2,0
1,1501200344,1501200344,"2017-07-27",1.2300784638911084E+18,"Direct","Not Socially Engaged",2,0
2,1499502674,1499502674,"2017-07-08",5.294976325052329E+18,"Direct","Not Socially Engaged",2,0
